movieId,title,genres,imdbId,tmdbId,url,rating_count,rating_avg,poster_path
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,0114709,862,http://www.imdb.com/title/tt0114709/,215,3.9209302325581397,https://image.tmdb.org/t/p/original/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg
2,Jumanji (1995),Adventure|Children|Fantasy,0113497,8844,http://www.imdb.com/title/tt0113497/,110,3.4318181818181817,https://image.tmdb.org/t/p/original/bdHG5Mo83VPobeZZdlSz0Y7HQHB.jpg
3,Grumpier Old Men (1995),Comedy|Romance,0113228,15602,http://www.imdb.com/title/tt0113228/,52,3.2596153846153846,https://image.tmdb.org/t/p/original/1FSXpj5e8l4KH6nVFO5SPUeraOt.jpg
4,Waiting to Exhale (1995),Comedy|Drama|Romance,0114885,31357,http://www.imdb.com/title/tt0114885/,7,2.357142857142857,https://image.tmdb.org/t/p/original/qJU6rfil5xLVb5HpJsmmfeSK254.jpg
5,Father of the Bride Part II (1995),Comedy,0113041,11862,http://www.imdb.com/title/tt0113041/,49,3.0714285714285716,https://image.tmdb.org/t/p/original/rj4LBtwQ0uGrpBnCELr716Qo3mw.jpg
6,Heat (1995),Action|Crime|Thriller,0113277,949,http://www.imdb.com/title/tt0113277/,102,3.946078431372549,https://image.tmdb.org/t/p/original/umSVjVdbVwtx5ryCA2QXL44Durm.jpg
7,Sabrina (1995),Comedy|Romance,0114319,11860,http://www.imdb.com/title/tt0114319/,54,3.185185185185185,https://image.tmdb.org/t/p/original/z1oNjotUI7D06J4LWQFQzdIuPnf.jpg
8,Tom and Huck (1995),Adventure|Children,0112302,45325,http://www.imdb.com/title/tt0112302/,8,2.875,https://image.tmdb.org/t/p/original/vIG8hWOa7DyLMRiurzKwVAnIYoU.jpg
9,Sudden Death (1995),Action,0114576,9091,http://www.imdb.com/title/tt0114576/,16,3.125,https://image.tmdb.org/t/p/original/1pylO6YX5XdOA6QCc5IRxrrffkg.jpg
10,GoldenEye (1995),Action|Adventure|Thriller,0113189,710,http://www.imdb.com/title/tt0113189/,132,3.496212121212121,https://image.tmdb.org/t/p/original/z0ljRnNxIO7CRBhLEO0DvLgAFPR.jpg
11,"American President, The (1995)",Comedy|Drama|Romance,0112346,9087,http://www.imdb.com/title/tt0112346/,70,3.6714285714285713,https://image.tmdb.org/t/p/original/yObOAYFIHXHkFPQ3jhgkN2ezaD.jpg
12,Dracula: Dead and Loving It (1995),Comedy|Horror,0112896,12110,http://www.imdb.com/title/tt0112896/,19,2.4210526315789473,https://image.tmdb.org/t/p/original/4rRfZz8YnHNRr16t3CFcJrPdXHi.jpg
13,Balto (1995),Adventure|Animation|Children,0112453,21032,http://www.imdb.com/title/tt0112453/,8,3.125,https://image.tmdb.org/t/p/original/dCVcdb5oxDizqFLz0F7TE60NoC9.jpg
14,Nixon (1995),Drama,0113987,10858,http://www.imdb.com/title/tt0113987/,18,3.8333333333333335,https://image.tmdb.org/t/p/original/cz2MTGr2wpDZLirgV2rGHBdA2t3.jpg
15,Cutthroat Island (1995),Action|Adventure|Romance,0112760,1408,http://www.imdb.com/title/tt0112760/,13,3.0,https://image.tmdb.org/t/p/original/hYdeBZ4BFXivdouxLfQGWNE6zRx.jpg
16,Casino (1995),Crime|Drama,0112641,524,http://www.imdb.com/title/tt0112641/,82,3.926829268292683,https://image.tmdb.org/t/p/original/4TS5O1IP42bY2BvgMxL156EENy.jpg
17,Sense and Sensibility (1995),Drama|Romance,0114388,4584,http://www.imdb.com/title/tt0114388/,67,3.7761194029850746,https://image.tmdb.org/t/p/original/cBK2yL3HqhFvIVd7lLtazWlRZPR.jpg
18,Four Rooms (1995),Comedy,0113101,5,http://www.imdb.com/title/tt0113101/,20,3.7,https://image.tmdb.org/t/p/original/75aHn1NOYXh4M7L5shoeQ6NGykP.jpg
19,Ace Ventura: When Nature Calls (1995),Comedy,0112281,9273,http://www.imdb.com/title/tt0112281/,88,2.727272727272727,https://image.tmdb.org/t/p/original/wcinCf1ov2D6M3P7BBZkzQFOiIb.jpg
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,0113845,11517,http://www.imdb.com/title/tt0113845/,15,2.5,https://image.tmdb.org/t/p/original/jWBDz6Mf9aQVBiUS76JQsEhvoJl.jpg
21,Get Shorty (1995),Comedy|Crime|Thriller,0113161,8012,http://www.imdb.com/title/tt0113161/,89,3.49438202247191,https://image.tmdb.org/t/p/original/r82SdPhg4fnIcLt0ogIjQxqjdcO.jpg
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,0112722,1710,http://www.imdb.com/title/tt0112722/,36,3.2222222222222223,https://image.tmdb.org/t/p/original/oMgwJb016znNZcpDR20eXxZoW8A.jpg
23,Assassins (1995),Action|Crime|Thriller,0112401,9691,http://www.imdb.com/title/tt0112401/,16,3.125,https://image.tmdb.org/t/p/original/kgqS4jn60E8UIExfceMUExB3ZKK.jpg
24,Powder (1995),Drama|Sci-Fi,0114168,12665,http://www.imdb.com/title/tt0114168/,28,3.125,https://image.tmdb.org/t/p/original/kImKATjY4EsK5MDgrmpJdGbQEbq.jpg
25,Leaving Las Vegas (1995),Drama|Romance,0113627,451,http://www.imdb.com/title/tt0113627/,76,3.625,https://image.tmdb.org/t/p/original/nqc2LaUWB4ePf6IqpJ6D8apBDvn.jpg
26,Othello (1995),Drama,0114057,16420,http://www.imdb.com/title/tt0114057/,13,3.5,https://image.tmdb.org/t/p/original/nNP3FDHUIyztw5eq5AejZKzqXbz.jpg
27,Now and Then (1995),Children|Drama,0114011,9263,http://www.imdb.com/title/tt0114011/,9,3.3333333333333335,https://image.tmdb.org/t/p/original/q31Ks8oAmM4Nq2CcGjyYYpdBAmh.jpg
